Empty;Team;Opponent;Empty2;Empty3;wOBA;wOBA_Diff;ISO;ISO_Diff;SLG;SO/AB;HR/AB;SB/G;Pro;My;Ump;Bargain;ParkRank;Runs;Opp_Run;Delta;ML;OU;ML%;Temp;Rating;WindSpd;WindDir;Humidity;Adv15_Cnt;Adv15_Dist;Adv15_EV;Adv15_FB;Adv15_GB;Adv15_LD;Adv15_HH;Adv15_DistDelta;Adv15_EVDelta;Adv15_HHDelta;Adv15_Air;AdvYear_Cnt;AdvYear_Dist;AdvYear_EV;AdvYear_FB;AdvYear_GB;AdvYear_LD;AdvYear_HH;AdvYear_GB/FB;AdvYear_Air;FantYear_PPG;FantYear_Change;FantYear_PlusMinus;FantYear_Consist;FantYear_Upside;FantYear_Duds;FantYear_Count;FantMonth_PPG;FantMonth_Change;FantMonth_Consist;FantMonth_Upside;FantMonth_Duds;FantMonth_Count
;MIA - S Alcantara (R);MIA;Citizens Bank Park;;;8.87;28.8;2.1;1.89;682.3;;6.98;0;;0;0;0;0;0;0;;;0;0;;80%;50;5;3.6;0;-186;8.5;59;42;78.03;3.39;To Left;0.84;15%;;$0;;;;;0;;;;;;
;KC - D Duffy (L);KC;Progressive Field;;;10.29;36.6;2.3;1.09;447.4;;9.2;7.8;;0;0.423;-0.065;0.429;-0.045;0.714;0.143;;0;0;;84%;17;5.1;3.5;-0.1;-207;8.5;65;44;76.72;5.57;In;0.65;1%;11.7;$0;1.2;22%;16%;19%;61;;;;;;
;KC - D Duffy (L);KC;Progressive Field;;;9.33;29.7;2.3;2.13;666.4;;7.2;2.6;;0;0.487;0.155;0.333;0.164;0.697;0.227;;0;0;;68%;17;5.1;3.5;-0.1;-207;8.5;65;44;76.72;5.57;In;0.65;1%;9.1;$0;0.4;36%;18%;27%;61;;;;;;
;DET - M Boyd (L);DET;Great American Ball Park;;;9.06;29.7;2.2;1.42;566.3;;7.64;14.2;;0;0.477;0.119;0.409;0.132;0.773;0.159;;0;0;;50%;67;4.9;3.7;-0.2;-169;8.5;81;54;86.26;3.13;To Right;0.54;1%;9.8;$0;1.3;37%;25%;30%;62;;;;;;
;KC - D Duffy (L);KC;Progressive Field;;;8.75;28.3;2.1;1.77;673.1;;6.98;2.6;;0;0.411;0.122;0.281;0.079;0.594;0.266;;0;0;;72%;17;5.1;3.5;-0.1;-207;8.5;65;44;76.72;5.57;In;0.65;1%;7.4;$0;0.2;34%;16%;40%;61;;;;;;
;DET - M Boyd (L);DET;Great American Ball Park;;;8.52;29.1;2;2.88;1217.1;;5.64;4.5;;0;0.324;0.045;0.169;-0.001;0.441;0.22;;0;0;;50%;67;4.9;3.7;-0.2;-169;8.5;81;54;86.26;3.13;To Right;0.54;1%;4.4;$0;-1.7;22%;12%;56%;62;;;;;;
;COL - G Marquez (R);COL;;;;8.55;29.6;2;1.13;570;;7.42;7.1;;0;0.323;-0.032;0.279;0.029;0.503;0.361;;0;0;;63%;50;5.2;4.5;;-139;9.5;38;50;72;0;NA - Closed Roof;0;0%;9.4;$0;1.2;46%;18%;35%;60;;;;;;
;DET - M Boyd (L);DET;Great American Ball Park;;;9.82;32.2;2.3;0.85;446.4;;8.97;2.6;;0;0.451;0.025;0.362;0.024;0.638;0.468;;0;0;;50%;67;4.9;3.7;-0.2;-169;8.5;81;54;86.26;3.13;To Right;0.54;1%;10.5;$0;1.4;45%;20%;32%;62;;;;;;
;DET - M Boyd (L);DET;Great American Ball Park;;;8.46;25.3;2.2;1.71;705;;6.75;18.7;;0;0.26;-0.139;0.066;-0.153;0.246;0.279;;0;0;;50%;61;4.9;3.7;-0.2;-169;8.5;81;54;86.26;3.13;To Right;0.54;1%;7.4;$0;0;30%;12%;32%;62;;;;;;
;MIA - S Alcantara (R);MIA;Citizens Bank Park;;;10.26;35.6;2.4;1.95;540;;8.31;2.6;;0;0.37;-0.059;0.25;-0.088;0.492;0.306;;0;0;;22%;59;5;3.6;0;-186;8.5;59;42;78.03;3.39;To Left;0.84;15%;10.7;$0;1.7;40%;21%;25%;60;;;;;;
